VENTAS_NETAS,CANTIDAD_TOTAL,NUMERO_FACTURAS,ULTIMA_COMPRA,DIAS_DESDE_ULTIMA_COMPRA,PUNTAJE_MONETARIO,PUNTAJE_FRECUENCIA,PUNTAJE_RECENCIA,PUNTAJE_RFM,CLASIFICACION,NOMCLI,CADENA
8793.4873,2788.0,151,2023-03-31,0,3,5,5,13,Cliente Leal,Farmacia Damián Despertar,GRUPO Inspirar Acariciar
11175.0067,2636.0,147,2023-06-30,0,4,4,5,13,Cliente Leal,Farmacia Damián Despertar,GRUPO Inspirar Acariciar
3800.7298,1313.0,84,2023-09-28,2,2,4,4,10,Cliente Leal,Farmacia Damián Despertar,GRUPO Inspirar Acariciar
4279.695,1589.0,96,2023-12-26,5,2,4,3,9,Cliente Regular,Farmacia Damián Despertar,GRUPO Inspirar Acariciar
4836.4986,1621.0,79,2024-03-31,0,2,3,5,10,Cliente Leal,Farmacia Damián Despertar,GRUPO Inspirar Acariciar
3619.7578,883.0,50,2024-06-30,0,2,3,5,10,Cliente Leal,Farmacia Damián Despertar,GRUPO Inspirar Acariciar
2740.5789,570.0,52,2024-09-30,0,2,3,5,10,Cliente Leal,Farmacia Damián Despertar,GRUPO Inspirar Acariciar
5793.1848,1477.0,83,2024-12-27,4,3,4,3,10,Cliente Regular,Farmacia Damián Despertar,GRUPO Inspirar Acariciar
11577.2715,3556.0,140,2025-03-31,0,4,4,5,13,Cliente Leal,Farmacia Damián Despertar,GRUPO Inspirar Acariciar
16776.0746,6148.0,190,2025-06-27,3,4,5,3,12,Cliente Regular,Farmacia Damián Despertar,GRUPO Inspirar Acariciar
12671.8797,5528.0,187,2025-09-30,0,4,5,5,14,Cliente Leal,Farmacia Damián Despertar,GRUPO Inspirar Acariciar
11422.4421,4525.0,211,2025-12-29,2,4,5,4,13,Cliente Leal,Farmacia Damián Despertar,GRUPO Inspirar Acariciar
15041.3256,3582.0,164,2023-03-31,0,4,5,5,14,Cliente Leal,Farmacia Pablo Fruto,GRUPO Refugio Paz
21816.791,4829.0,121,2023-06-28,2,4,4,4,12,Cliente Leal,Farmacia Pablo Fruto,GRUPO Refugio Paz
15540.6681,2861.0,140,2023-09-29,1,4,4,5,13,Cliente Leal,Farmacia Pablo Fruto,GRUPO Refugio Paz
10381.1998,1866.0,138,2023-12-26,5,4,4,3,11,Cliente Regular,Farmacia Pablo Fruto,GRUPO Refugio Paz
11837.1175,2324.0,88,2024-03-26,5,4,4,3,11,Cliente Regular,Farmacia Pablo Fruto,GRUPO Refugio Paz
37120.866,11262.0,111,2024-06-26,4,4,4,3,11,Cliente Regular,Farmacia Pablo Fruto,GRUPO Refugio Paz
